date (yyyy/mm/dd),time (UT),detector,AW (deg),Central PA (deg),height (Rs),center_mass (Rs),mass (g),potential (erg)
2013/05/02,06:24:27,c2B,60.00,338.25,4.30,3.51,1.654e+15,2.288e+30
2013/01/29,02:15:55,c1B,46.00,334.43,1.90,1.55,4.375e+14,3.056e+29
2013/01/23,15:39:00,c2A,87.00,34.84,6.80,4.06,2.088e+15,3.037e+30
2013/05/27,20:54:27,c2B,83.00,187.65,6.20,4.31,9.703e+14,1.453e+30
2013/05/02,09:39:00,c2A,87.00,39.63,11.50,7.96,3.811e+15,6.420e+30
2011/06/05,05:50:00,c1A,72.00,44.75,3.50,2.32,2.174e+15,2.433e+30
2011/06/05,05:40:00,c1A,72.00,45.99,3.50,2.31,2.012e+15,2.249e+30
2013/05/27,22:39:27,c2B,90.00,184.1,11.00,6.68,2.922e+15,4.784e+30
2013/05/27,20:39:27,c2B,83.00,188.0,5.40,4.08,4.484e+14,6.604e+29
2013/02/09,08:24:52,c2B,65.00,317.13,8.00,5.08,3.165e+15,4.847e+30
2013/01/23,14:15:56,c1B,53.00,313.5,3.00,2.09,2.500e+15,2.494e+30
2013/04/24,05:50:00,c1A,40.00,230.4,1.80,1.48,9.289e+14,5.820e+29
2013/02/09,06:30:00,c1A,57.00,57.54,2.40,1.92,1.750e+15,1.643e+30
2013/01/23,14:45:56,c1B,58.00,318.86,4.20,3.64,1.195e+15,1.820e+30
2013/06/08,00:39:00,c2A,76.00,151.49,8.50,4.92,5.965e+15,9.076e+30
2013/06/07,23:20:19,c1B,57.00,150.3,3.10,2.17,2.949e+15,3.064e+30
2010/12/14,16:00:00,c1A,82.00,36.21,3.50,2.40,3.869e+15,4.416e+30
2013/02/09,06:55:00,c1A,63.00,54.49,4.00,2.64,2.694e+15,3.197e+30
2013/04/24,07:39:00,c2A,41.00,221.84,7.80,4.53,1.643e+15,2.409e+30
2013/05/02,06:24:00,c2A,70.00,43.57,5.50,3.93,3.199e+15,4.579e+30
2011/03/17,13:35:57,C2,140.00,132.01,5.20,2.60,8.171e+15,1.053e+31
2011/03/17,13:35:57,C2,143.00,132.75,5.20,2.57,8.273e+15,1.065e+31
2011/06/05,07:23:38,C2,49.00,40.58,4.70,3.24,2.753e+15,3.615e+30
2011/03/17,13:24:26,c2B,60.00,118.24,5.60,4.17,1.783e+15,2.612e+30
2010/12/14,16:39:51,c2B,80.00,320.96,6.50,4.36,3.609e+15,5.362e+30
2010/12/12,07:54:51,c2B,47.00,318.90999999999997,5.80,4.36,1.060e+15,1.561e+30
2013/05/02,07:54:27,c2B,63.00,338.64,7.00,5.04,3.677e+15,5.637e+30
2010/12/14,16:39:00,c2A,83.00,36.81,7.00,4.10,4.686e+15,6.802e+30
2010/12/14,16:39:00,c2A,85.00,36.61,6.50,4.06,4.680e+15,6.782e+30
2010/12/14,16:00:51,c1B,75.00,319.59000000000003,3.60,2.51,3.392e+15,4.022e+30
2010/12/14,16:23:05,C2,94.00,320.29,4.80,3.19,3.139e+15,4.175e+30
2013/01/23,14:22:55,C2,65.00,24.15,3.00,2.34,8.257e+14,9.268e+29
2013/04/24,07:24:00,c2A,41.00,221.49,6.80,4.09,1.460e+15,2.083e+30
2010/12/14,15:20:51,c1B,50.00,315.90999999999997,1.80,1.52,5.213e+14,3.532e+29
2010/12/12,05:45:51,c1B,42.00,321.04,2.90,1.68,1.626e+15,1.216e+30
2010/12/12,09:54:51,c2B,46.00,317.15,10.00,7.34,2.435e+15,4.015e+30
2010/12/12,09:54:51,c2B,46.00,317.14,9.80,7.27,2.361e+15,3.887e+30
2013/05/27,20:34:42,C2,55.00,151.53,4.80,3.55,1.368e+15,1.875e+30
2013/05/27,19:30:00,c1A,45.00,227.26,2.70,1.83,3.138e+15,2.692e+30
2013/04/24,08:24:28,c2B,57.00,171.0,9.50,5.77,1.418e+15,2.234e+30
2013/05/02,07:53:59,c2A,87.00,41.55,8.20,5.52,4.059e+15,6.389e+30
2011/03/17,12:45:26,c1B,61.00,117.16,2.80,2.00,4.053e+15,3.939e+30
2013/06/08,00:54:19,c2B,52.00,163.09,8.80,5.73,3.475e+15,5.478e+30
2013/06/07,23:05:00,c1A,45.00,139.72,2.30,1.88,1.891e+15,1.725e+30
2013/06/07,23:25:19,c1B,54.00,152.45,3.40,2.34,3.049e+15,3.350e+30
2010/12/14,17:39:00,c2A,90.00,36.36,11.00,6.41,6.249e+15,1.004e+31
2013/01/23,15:54:56,c2B,68.00,314.83,7.00,4.96,2.003e+15,3.067e+30
2013/02/09,07:11:00,C2,65.00,347.53,3.80,2.73,2.636e+15,3.203e+30
2013/01/29,04:39:00,c2A,52.00,33.19,5.30,3.75,6.508e+14,9.051e+29
2013/05/17,23:39:27,c2B,54.00,142.12,11.00,6.90,2.110e+15,3.428e+30
2013/04/24,08:39:00,c2A,45.00,223.25,11.50,6.21,2.182e+15,3.432e+30
2013/06/07,23:54:19,c2B,46.00,155.57,5.80,4.39,8.131e+14,1.207e+30
2013/01/29,03:54:55,c2B,58.00,347.1,4.20,3.36,3.598e+14,4.877e+29
2013/05/27,19:05:00,c1A,37.00,232.53,2.10,1.53,2.578e+15,1.696e+30
2013/06/08,01:39:19,c2B,60.00,166.9,11.50,7.15,4.468e+15,7.330e+30
2013/05/17,21:39:27,c2B,50.00,143.22,5.00,4.12,3.949e+14,5.774e+29
2013/05/17,22:54:27,c2B,54.00,143.27,8.60,5.68,1.835e+15,2.888e+30
2011/06/05,06:24:25,c2B,62.00,309.29,4.80,3.51,6.202e+14,8.560e+29
2013/05/27,20:24:00,c2A,56.00,216.74,5.20,3.58,1.641e+15,2.276e+30
2013/05/27,20:22:42,C2,55.00,151.8,4.40,3.27,1.256e+15,1.670e+30
2013/01/29,04:39:55,c2B,58.00,349.52,4.80,3.61,4.894e+14,6.795e+29
2010/12/12,05:40:51,c1B,45.00,321.99,2.85,1.66,1.612e+15,1.191e+30
2013/05/02,08:39:27,c2B,63.00,339.2,8.40,5.93,3.925e+15,6.231e+30
2013/01/29,02:10:55,c1B,46.00,334.6,1.80,1.51,2.967e+14,1.972e+29
2013/05/17,20:40:00,c1A,52.00,211.0,2.30,1.68,1.318e+15,1.039e+30
2013/02/09,08:39:00,c2A,66.00,57.37,10.30,5.86,3.264e+15,5.084e+30
2013/01/29,05:39:00,c2A,55.00,34.85,6.80,4.46,6.609e+14,9.636e+29
2011/06/05,03:30:00,c1A,55.00,47.41,2.50,1.94,4.944e+14,4.715e+29
2013/04/24,06:54:00,c2A,37.00,222.78,5.20,3.37,7.818e+14,1.047e+30
2013/06/07,22:50:00,c1A,36.00,137.62,1.70,1.50,6.101e+14,3.989e+29
2010/12/12,05:45:00,c1A,40.00,38.37,3.00,1.95,9.270e+14,8.419e+29
2013/05/02,05:39:00,c2A,60.00,49.76,3.70,3.08,1.426e+15,1.861e+30
2013/05/02,05:58:24,C2,65.00,347.1,3.90,2.82,2.657e+15,3.300e+30
2013/01/23,13:55:56,c1B,50.00,307.44,2.50,1.55,8.932e+15,6.037e+30
2010/12/14,15:25:51,c1B,57.00,315.53,1.90,1.59,9.523e+14,7.099e+29
2013/04/24,06:40:28,c1B,54.00,177.69,3.50,2.10,8.469e+14,8.411e+29
2013/05/27,22:54:27,c2B,90.00,183.49,11.80,6.97,3.197e+15,5.259e+30
2011/06/05,05:10:25,c1B,67.00,314.37,3.60,2.82,9.911e+14,1.379e+30
2013/05/02,09:54:27,c2B,63.00,339.88,10.50,7.41,3.860e+15,6.388e+30
2013/01/29,06:39:00,c2A,55.00,35.72,8.80,5.06,7.442e+14,1.111e+30
2011/06/05,04:40:00,c1A,62.00,47.09,3.10,2.17,1.375e+15,1.460e+30
2013/06/07,23:47:55,C2,56.00,216.09,5.20,3.29,3.096e+15,4.105e+30
2013/05/17,20:40:27,c1B,50.00,138.89,2.30,1.84,9.592e+14,8.557e+29
2010/12/12,06:35:00,c1A,42.00,38.83,3.90,2.37,1.186e+15,1.262e+30
2013/05/27,19:25:27,c1B,50.00,187.62,1.90,1.70,4.459e+14,3.627e+29
2010/12/14,18:24:00,c2A,95.00,36.08,14.70,8.32,7.021e+15,1.174e+31
2013/02/09,06:20:00,c1A,50.00,59.35,2.05,1.77,1.037e+15,8.855e+29
2011/06/05,05:10:00,c1A,66.00,46.32,3.30,2.20,1.770e+15,1.897e+30
2013/06/07,23:54:00,c2A,67.00,147.87,5.70,3.58,3.976e+15,5.499e+30
2013/04/24,06:35:28,c1B,52.00,178.08,3.20,2.02,7.491e+14,7.208e+29
2013/05/27,21:39:00,c2A,56.00,215.85,8.60,5.49,2.876e+15,4.478e+30
2013/02/09,09:24:52,c2B,69.00,314.96,11.50,6.50,4.421e+15,7.068e+30
