,ID,T_REC,USFLUX,ERRVF,MEANJZH,ERRMIH,TOTUSJH,ERRTUI,ABSNJZH,ERRTAI,MEANPOT,ERRMPOT,TOTPOT,ERRTPOT
72,2.000e+00,2010.12.14_12:12:00.000_TAI,6.020e+21,3.959e+18,-1.267e-02,7.848e-04,3.365e+02,6.755e+00,1.090e+02,6.755e+00,7.941e+03,1.487e+01,9.077e+22,1.700e+20
73,2.000e+00,2010.12.14_12:24:00.000_TAI,6.040e+21,4.134e+18,-1.284e-02,7.934e-04,3.414e+02,6.855e+00,1.110e+02,6.855e+00,7.898e+03,1.537e+01,9.062e+22,1.764e+20
74,2.000e+00,2010.12.14_12:36:00.000_TAI,6.013e+21,4.005e+18,-1.292e-02,7.723e-04,3.366e+02,6.686e+00,1.118e+02,6.686e+00,7.810e+03,1.510e+01,8.981e+22,1.736e+20
75,2.000e+00,2010.12.14_12:48:00.000_TAI,6.185e+21,4.166e+18,-1.175e-02,7.480e-04,3.458e+02,6.757e+00,1.062e+02,6.757e+00,7.643e+03,1.452e+01,9.168e+22,1.742e+20
76,2.000e+00,2010.12.14_13:00:00.000_TAI,6.083e+21,4.022e+18,-1.248e-02,7.528e-04,3.379e+02,6.535e+00,1.083e+02,6.535e+00,7.732e+03,1.481e+01,8.913e+22,1.708e+20
77,2.000e+00,2010.12.14_13:12:00.000_TAI,6.110e+21,4.076e+18,-1.279e-02,7.415e-04,3.411e+02,6.603e+00,1.139e+02,6.603e+00,7.563e+03,1.460e+01,8.944e+22,1.727e+20
78,2.000e+00,2010.12.14_13:24:00.000_TAI,6.141e+21,4.083e+18,-1.230e-02,7.603e-04,3.444e+02,6.685e+00,1.082e+02,6.685e+00,7.748e+03,1.488e+01,9.049e+22,1.738e+20
79,2.000e+00,2010.12.14_13:36:00.000_TAI,6.109e+21,4.142e+18,-1.262e-02,7.838e-04,3.414e+02,6.729e+00,1.084e+02,6.729e+00,8.040e+03,1.550e+01,9.167e+22,1.768e+20
80,2.000e+00,2010.12.14_13:48:00.000_TAI,6.109e+21,4.073e+18,-1.252e-02,7.517e-04,3.369e+02,6.553e+00,1.092e+02,6.553e+00,7.869e+03,1.504e+01,9.110e+22,1.741e+20
81,2.000e+00,2010.12.14_14:00:00.000_TAI,6.192e+21,4.300e+18,-1.232e-02,7.689e-04,3.437e+02,6.811e+00,1.091e+02,6.811e+00,7.804e+03,1.525e+01,9.182e+22,1.794e+20
